date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:44:44	461/461	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265eb88c6-38c%22	https://www.creme.digital/robots.txt		(from )
19:44:45	69130/69130	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:44:46%20GMT	https://www.creme.digital/	D:/Downloads/creme/creme/www.creme.digital/index.html	(from )
19:44:46	143110/143110	---M-Z	200	added ('OK')	text/css	etag:%2272230cb84150b15b3e0d1ed3bc1c7505%22	https://assets-global.website-files.com/63c26552be9ea599a179aeed/css/creme-5588c3.8a55f37e1.min.css	D:/Downloads/creme/creme/assets-global.website-files.com/63c26552be9ea599a179aeed/css/creme-5588c3.8a55f37e1.min.css	(from https://www.creme.digital/)
19:44:46	13188/13188	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/Downloads/creme/creme/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.creme.digital/)
19:44:46	670/670	---M--	200	added ('OK')	image/png	etag:%229f6dd12aa4451c94c046fd1355e36cf9%22	https://assets-global.website-files.com/63c26552be9ea599a179aeed/6418e6bc75db1c2d8b18d8fe_Creme%20Favicon.png	D:/Downloads/creme/creme/assets-global.website-files.com/63c26552be9ea599a179aeed/6418e6bc75db1c2d8b18d8fe_Creme%20Favicon.png	(from https://www.creme.digital/)
19:44:47	4938/4938	---M--	200	added ('OK')	image/png	etag:%22eaf16097d1a20ee7c675f3904824cd9a%22	https://assets-global.website-files.com/63c26552be9ea599a179aeed/6418e675265f9227f35cc432_Webclip%20Creme.png	D:/Downloads/creme/creme/assets-global.website-files.com/63c26552be9ea599a179aeed/6418e675265f9227f35cc432_Webclip%20Creme.png	(from https://www.creme.digital/)
19:44:48	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	D:/Downloads/creme/creme/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://www.creme.digital/)
19:44:48	23272/23272	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:44:49%20GMT	https://www.creme.digital/contact	D:/Downloads/creme/creme/www.creme.digital/contact.html	(from https://www.creme.digital/)
19:44:48	31653/31653	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:44:49%20GMT	https://www.creme.digital/our-work	D:/Downloads/creme/creme/www.creme.digital/our-work.html	(from https://www.creme.digital/)
19:44:48	34026/34026	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:44:49%20GMT	https://www.creme.digital/about-us	D:/Downloads/creme/creme/www.creme.digital/about-us.html	(from https://www.creme.digital/)
19:44:49	83625/83625	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:44:50%20GMT	https://www.creme.digital/blogs	D:/Downloads/creme/creme/www.creme.digital/blogs.html	(from https://www.creme.digital/)
19:44:49	96894/96894	---M--	200	added ('OK')	image/png	etag:%22a9b82a734f6d2a9f2e3d360215ea83d5%22	https://assets-global.website-files.com/63c26552be9ea599a179aeed/6580e889743df4400db7e45a_screen.png	D:/Downloads/creme/creme/assets-global.website-files.com/63c26552be9ea599a179aeed/6580e889743df4400db7e45a_screen.png	(from https://www.creme.digital/)
19:44:49	105715/105715	---M--	200	added ('OK')	image/png	etag:%22e900a02ce15b70bb9ad84f1aa0f51050%22	https://assets-global.website-files.com/63c26552be9ea599a179aeed/657f4d3fd33075f56164bc0d_notion-cards.png	D:/Downloads/creme/creme/assets-global.website-files.com/63c26552be9ea599a179aeed/657f4d3fd33075f56164bc0d_notion-cards.png	(from https://www.creme.digital/)
19:44:50	89056/89056	---M--	200	added ('OK')	image/png	etag:%2235e6eeb072e3e7a254321e9f2c037f91%22	https://assets-global.website-files.com/63c26552be9ea599a179aeed/6585e7b0a25cc4e695a210af_mobile_tools.png	D:/Downloads/creme/creme/assets-global.website-files.com/63c26552be9ea599a179aeed/6585e7b0a25cc4e695a210af_mobile_tools.png	(from https://www.creme.digital/)
19:44:51	174737/174737	---M--	200	added ('OK')	image/png	etag:%22b13e4e618a2590a974d5bec48d1de9f5%22	https://assets-global.website-files.com/63c26552be9ea599a179aeed/6585e8adee6e6704282efc8c_Mobile_Team.png	D:/Downloads/creme/creme/assets-global.website-files.com/63c26552be9ea599a179aeed/6585e8adee6e6704282efc8c_Mobile_Team.png	(from https://www.creme.digital/)
19:44:51	31444/31444	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:44:52%20GMT	https://www.creme.digital/projects/creator-now	D:/Downloads/creme/creme/www.creme.digital/projects/creator-now.html	(from https://www.creme.digital/)
19:44:51	78777/78777	---M--	200	added ('OK')	image/jpeg	etag:%222deaffb3a38b6714925b1ff8d744fdde%22	https://assets-global.website-files.com/63c513e10a00605d8aee53a9/658dbca725badd7dee1d5d0b_CreatorNow%20Thumbnail.jpg	D:/Downloads/creme/creme/assets-global.website-files.com/63c513e10a00605d8aee53a9/658dbca725badd7dee1d5d0b_CreatorNow%20Thumbnail.jpg	(from https://www.creme.digital/)
19:44:51	33985/33985	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:44:53%20GMT	https://www.creme.digital/projects/frenter	D:/Downloads/creme/creme/www.creme.digital/projects/frenter.html	(from https://www.creme.digital/)
19:44:52	120190/120190	---M--	200	added ('OK')	image/jpeg	etag:%22162a1ca019b97e224d9b28eb83a87c5e%22	https://assets-global.website-files.com/63c513e10a00605d8aee53a9/658e94ba9102c07114f6601c_Frenter%20Thumbnail.jpg	D:/Downloads/creme/creme/assets-global.website-files.com/63c513e10a00605d8aee53a9/658e94ba9102c07114f6601c_Frenter%20Thumbnail.jpg	(from https://www.creme.digital/)
19:44:52	35342/35342	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:44:53%20GMT	https://www.creme.digital/projects/onder	D:/Downloads/creme/creme/www.creme.digital/projects/onder.html	(from https://www.creme.digital/)
19:44:52	77689/77689	---M--	200	added ('OK')	image/jpeg	etag:%22ea25aa84f0aea2d9e5219d3c24025eb5%22	https://assets-global.website-files.com/63c513e10a00605d8aee53a9/658e94cb46e668ae227857c8_Onder%20Thumbnail.jpg	D:/Downloads/creme/creme/assets-global.website-files.com/63c513e10a00605d8aee53a9/658e94cb46e668ae227857c8_Onder%20Thumbnail.jpg	(from https://www.creme.digital/)
19:44:53	35595/35595	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:44:54%20GMT	https://www.creme.digital/projects/montra	D:/Downloads/creme/creme/www.creme.digital/projects/montra.html	(from https://www.creme.digital/)
19:44:53	97198/97198	---M--	200	added ('OK')	image/jpeg	etag:%22e0315845963277ed9b02e4611617fb67%22	https://assets-global.website-files.com/63c513e10a00605d8aee53a9/658e94d97aa90abd23386ba8_Montra%20Thumbnail.jpg	D:/Downloads/creme/creme/assets-global.website-files.com/63c513e10a00605d8aee53a9/658e94d97aa90abd23386ba8_Montra%20Thumbnail.jpg	(from https://www.creme.digital/)
19:44:53	18062/18062	---M--	200	added ('OK')	image/png	etag:%2200914a32ff9fa00de871d20b38d5ab42%22	https://assets-global.website-files.com/63c26552be9ea599a179aeed/65846d6254201a5c7a40cfad_Body%20Details%20(1).png	D:/Downloads/creme/creme/assets-global.website-files.com/63c26552be9ea599a179aeed/65846d6254201a5c7a40cfad_Body%20Details%20(1).png	(from https://www.creme.digital/)
19:44:54	101141/101141	---M--	200	added ('OK')	image/png	etag:%22c5eae883d3ef7c425ec82c1b1d9151a9%22	https://assets-global.website-files.com/63c26552be9ea599a179aeed/65847c6269d5777638aad4f5_rocket.png	D:/Downloads/creme/creme/assets-global.website-files.com/63c26552be9ea599a179aeed/65847c6269d5777638aad4f5_rocket.png	(from https://www.creme.digital/)
19:44:54	589817/589817	---M--	200	added ('OK')	image/png	etag:%22ce055858b6e2f9b1aa8a3cbc396f3474%22	https://assets-global.website-files.com/63c26552be9ea599a179aeed/658475e9dc48ee90fbafded9_dashboard_built.png	D:/Downloads/creme/creme/assets-global.website-files.com/63c26552be9ea599a179aeed/658475e9dc48ee90fbafded9_dashboard_built.png	(from https://www.creme.digital/)
19:44:55	570532/570532	---M--	200	added ('OK')	image/png	etag:%22816c6ba862209743bf83c9abc46b97b5%22	https://assets-global.website-files.com/63c26552be9ea599a179aeed/65847696ba610ffac956935c_emptyscreen.png	D:/Downloads/creme/creme/assets-global.website-files.com/63c26552be9ea599a179aeed/65847696ba610ffac956935c_emptyscreen.png	(from https://www.creme.digital/)
19:44:55	26555/26555	---M--	200	added ('OK')	image/jpeg	etag:%22546090852852f3af2753073427b1639c%22	https://assets-global.website-files.com/63c513e10a00605d8aee53a9/655fca0f73a37a4c82d08730_Marie%20Bigham.jpg	D:/Downloads/creme/creme/assets-global.website-files.com/63c513e10a00605d8aee53a9/655fca0f73a37a4c82d08730_Marie%20Bigham.jpg	(from https://www.creme.digital/)
19:44:55	33493/33493	---M--	200	added ('OK')	image/jpeg	etag:%22c5f872986294195570d6dbfbf4fb1793%22	https://assets-global.website-files.com/63c513e10a00605d8aee53a9/6419c99cf2cf265bb1ce233a_1662521141303.jpeg	D:/Downloads/creme/creme/assets-global.website-files.com/63c513e10a00605d8aee53a9/6419c99cf2cf265bb1ce233a_1662521141303.jpg	(from https://www.creme.digital/)
19:44:56	364698/364698	---M--	200	added ('OK')	image/png	etag:%22bf46431b4cf7d1e7a0bec74bd53ede8c%22	https://assets-global.website-files.com/63c26552be9ea599a179aeed/65847eb68b706e81f5cf5039_rocket-blur.png	D:/Downloads/creme/creme/assets-global.website-files.com/63c26552be9ea599a179aeed/65847eb68b706e81f5cf5039_rocket-blur.png	(from https://www.creme.digital/)
19:44:57	674115/674115	---M--	200	added ('OK')	image/png	etag:%22df54bc3bd1f7a226c492225e9293c1c0%22	https://assets-global.website-files.com/63c513e10a00605d8aee53a9/6412077fde778cfcf85b0295_Screen%20Shot%202023-03-15%20at%201.59.23%20PM.png	D:/Downloads/creme/creme/assets-global.website-files.com/63c513e10a00605d8aee53a9/6412077fde778cfcf85b0295_Screen%20Shot%202023-03-15%20at%201.59.23%20PM.png	(from https://www.creme.digital/)
19:44:58	41963/41963	---M--	200	added ('OK')	image/jpeg	etag:%2281011062ea8eafa43a77659aa730fc93%22	https://assets-global.website-files.com/63c513e10a00605d8aee53a9/6407af2d3cc608799625b06c_1516486872140.jpeg	D:/Downloads/creme/creme/assets-global.website-files.com/63c513e10a00605d8aee53a9/6407af2d3cc608799625b06c_1516486872140.jpg	(from https://www.creme.digital/)
19:44:59	64233/64233	---M--	200	added ('OK')	image/jpeg	etag:%22ec424571684ecc66669e07671c53fb61%22	https://assets-global.website-files.com/63c513e10a00605d8aee53a9/6407af26732c43011b961d38_1_Sl-13SAdVPflzBJ7WcVgqA.jpeg	D:/Downloads/creme/creme/assets-global.website-files.com/63c513e10a00605d8aee53a9/6407af26732c43011b961d38_1_Sl-13SAdVPflzBJ7WcVgqA.jpg	(from https://www.creme.digital/)
19:44:59	795946/795946	---M--	200	added ('OK')	image/png	etag:%225d894da4471dedcde281c08198a2aa81%22	https://assets-global.website-files.com/63c513e10a00605d8aee53a9/640b8fe8ba67527e9ee1895e_1632097800043%201.png	D:/Downloads/creme/creme/assets-global.website-files.com/63c513e10a00605d8aee53a9/640b8fe8ba67527e9ee1895e_1632097800043%201.png	(from https://www.creme.digital/)
19:44:59	1198660/1198660	---M--	200	added ('OK')	image/png	etag:%227c1e1597f89d209104b1eb1debd18232%22	https://assets-global.website-files.com/63c513e10a00605d8aee53a9/640baabb90971bb510efa60b_image%20146.png	D:/Downloads/creme/creme/assets-global.website-files.com/63c513e10a00605d8aee53a9/640baabb90971bb510efa60b_image%20146.png	(from https://www.creme.digital/)
19:45:00	33184/33184	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:45:01%20GMT	https://www.creme.digital/faq	D:/Downloads/creme/creme/www.creme.digital/faq.html	(from https://www.creme.digital/)
19:45:00	61621/61621	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:45:01%20GMT	https://www.creme.digital/use-cases/no-code-front-end-development	D:/Downloads/creme/creme/www.creme.digital/use-cases/no-code-front-end-development.html	(from https://www.creme.digital/)
19:45:00	61218/61218	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:45:01%20GMT	https://www.creme.digital/use-cases/no-code-rapid-prototyping	D:/Downloads/creme/creme/www.creme.digital/use-cases/no-code-rapid-prototyping.html	(from https://www.creme.digital/)
19:45:02	61242/61242	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:45:02%20GMT	https://www.creme.digital/use-cases/no-code-internal-tools	D:/Downloads/creme/creme/www.creme.digital/use-cases/no-code-internal-tools.html	(from https://www.creme.digital/)
19:45:02	62806/62806	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:45:03%20GMT	https://www.creme.digital/use-cases/no-code-mvp-development	D:/Downloads/creme/creme/www.creme.digital/use-cases/no-code-mvp-development.html	(from https://www.creme.digital/)
19:45:02	35831/35831	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:45:03%20GMT	https://www.creme.digital/solutions/no-code-for-human-resources-teams	D:/Downloads/creme/creme/www.creme.digital/solutions/no-code-for-human-resources-teams.html	(from https://www.creme.digital/)
19:45:02	35781/35781	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:45:03%20GMT	https://www.creme.digital/solutions/no-code-for-sales-teams	D:/Downloads/creme/creme/www.creme.digital/solutions/no-code-for-sales-teams.html	(from https://www.creme.digital/)
19:45:03	35761/35761	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:45:04%20GMT	https://www.creme.digital/solutions/no-code-for-marketing-teams	D:/Downloads/creme/creme/www.creme.digital/solutions/no-code-for-marketing-teams.html	(from https://www.creme.digital/)
19:45:03	35718/35718	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:45:05%20GMT	https://www.creme.digital/solutions/no-code-for-startups	D:/Downloads/creme/creme/www.creme.digital/solutions/no-code-for-startups.html	(from https://www.creme.digital/)
19:45:04	35945/35945	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:45:05%20GMT	https://www.creme.digital/solutions/no-code-for-enterprise	D:/Downloads/creme/creme/www.creme.digital/solutions/no-code-for-enterprise.html	(from https://www.creme.digital/)
19:45:04	60679/60679	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:45:05%20GMT	https://www.creme.digital/product-type/analytics-tools	D:/Downloads/creme/creme/www.creme.digital/product-type/analytics-tools.html	(from https://www.creme.digital/)
